41,1,1-0
41,2,4-5
41,3,13
41,4,2-3
41,5,2-9
41,6,2-17
41,7,1-38
41,8,5-38
41,9,3-24
41,10,12-27
41,11,4-37
41,12,35
41,13,1-6
41,14,17-40
41,15,19-36
41,16,1-21-35
41,17,4-31-40
42,0,1
42,1,1-0
42,2,1-4-5
42,3,16-41
42,4,1-6-26
42,5,19-41
42,6,29-30
42,7,8-35
42,8,1-3-19
42,9,2-31-40
42,10,8-38-41-41
43,0,1
43,1,1-0
43,2,2-9-42
43,3,1-29-39-42
44,0,1
44,1,1-0
44,2,2-2-6
44,3,29-38-41
45,0,1
45,1,1-0
45,2,3-6
45,3,1-4-16
45,4,29-38
45,5,2-5-44
45,6,2-34-43-44
46,0,1
46,1,1-0
46,2,1-3-6
46,3,18-44
46,4,14-26
46,5,11-33
46,6,1-3-23
46,7,1-26-40
46,8,12-38-42
47,0,1
47,1,1-0
47,2,2-21-42
48,0,1
48,1,1-0
48,2,4-4-4
49,0,1
49,1,1-0
49,2,7
49,3,35-39-47
50,0,1
50,1,1-0
50,2,1-7
50,3,1-2-45
50,4,23-46
50,5,2-6-34
50,6,37-43-46
51,0,1
51,1,1-0
51,2,24-45
51,3,19-50
51,4,1-8-42
51,5,1-29-47
51,6,2-45-50
52,0,1
52,1,1-0
52,2,4-6
52,3,4-50
52,4,1-1-16
52,5,1-40-44
52,6,1-5-49-49
53,0,1
53,1,1-0
53,2,2-7
53,3,7-8
53,4,31
53,5,1-11-39
53,6,47-50
53,7,1-14-50
53,8,1-36-48
53,9,6-45-52
54,0,1
54,1,1-0
54,2,1-2-7
54,3,4-24-52
55,0,1
55,1,1-0
55,2,33-44
55,3,1-3-43
55,4,23-52
55,5,4-51
55,6,53
55,7,2-7
55,8,6-9
55,9,27-30
55,10,1-17-35
55,11,5-37-51
56,0,1
56,1,1-0
56,2,2-4-6
56,3,1-40-49-50
57,0,1
57,1,1-0
57,2,2-2-7
57,3,43-45-55
58,0,1
58,1,1-0
58,2,3-7
58,3,3-20
58,4,5-13
58,5,40-55
58,6,32-55
58,7,1-14-55
58,8,42-48-50
59,0,1
59,1,1-0
59,2,1-3-7
59,3,23-56
59,4,18-33
59,5,44-51
59,6,2-32-45
60,0,1
60,1,1-0
60,2,36-48
60,3,54
60,4,18-54
60,5,3-57
60,6,2-8-13
60,7,36-54-59
61,0,1
61,1,1-0
61,2,5-6
61,3,1-1-27
61,4,28-55
61,5,1-9-41
61,6,16-49-60
62,0,1
62,1,1-0
62,2,1-5-6
62,3,32-56
62,4,2-10-44
63,0,1
63,1,1-0
63,2,2-11-62
63,3,40-57-62
64,0,1
64,1,1-0
64,2,8
64,3,2-2
64,4,3-11
64,5,4-21
64,6,9-14
64,7,8-29
64,8,10-21
64,9,6-25
64,10,3-20
64,11,4-14
64,12,30
64,13,1-2-5
64,14,47-47
64,15,54-60-62
65,0,1
65,1,1-0
65,2,1-8
65,3,2-41
65,4,5-46
65,5,5-38
65,6,1-1-19
65,7,37-64
65,8,1-10-64
65,9,3-31-63
66,0,1
66,1,1-0
66,2,1-1-8
66,3,39-58
66,4,1-29-55
66,5,15-50-60
67,0,1
67,1,1-0
67,2,3-3-7
68,0,1
68,1,1-0
68,2,2-8
68,3,12
68,4,66
68,5,1-1-8
68,6,2-26-67
68,7,1-56-61-65
69,0,1
69,1,1-0
69,2,1-2-8
69,3,1-33-65
69,4,1-3-57-62
70,0,1
70,1,1-0
70,2,42-56
70,3,1-19-60
70,4,53-59
70,5,13-60
70,6,3-31
70,7,4-15
70,8,18-52
70,9,4-36
70,10,1-2-26
70,11,29-65
70,12,2-47-65
71,0,1
71,1,1-0
71,2,3-26-66
72,0,1
72,1,1-0
72,2,6-6
72,3,7-10-17
73,0,1
73,1,1-0
73,2,3-8
73,3,1-1-15
73,4,44-59
73,5,4-67
73,6,13-44
73,7,69
73,8,3-30
73,9,1-16-44
73,10,2-52-65
74,0,1
74,1,1-0
74,2,5-7
74,3,4-19
74,4,33-53
74,5,45-73
74,6,1-64-69
74,7,31-66-73
75,0,1
75,1,1-0
75,2,21-72
75,3,24-63
75,4,1-16-50
75,5,5-39-73
76,0,1
76,1,1-0
76,2,2-6-6
76,3,55-58-75
77,0,1
77,1,1-0
77,2,2-3-8
77,3,35-74-76
78,0,1
78,1,1-0
78,2,30-72
78,3,1-13-74
78,4,10-36-76
79,0,1
79,1,1-0
79,2,6-11-78
80,0,1
80,1,1-0
80,2,4-8
80,3,2-18
80,4,3-13
80,5,1-61
80,6,43-79
80,7,1-11-79
80,8,59-67-69
81,0,1
81,1,1-0
81,2,9
81,3,3
81,4,22-79
81,5,30-31
81,6,27-50
81,7,11-46
81,8,4-61
81,9,1-21-39
81,10,1-56-74
81,11,13-69-79
82,0,1
82,1,1-0
82,2,1-9
82,3,20-34
82,4,39-74
82,5,34-46
82,6,5-53
82,7,24-39
82,8,1-14-55
82,9,1-1-55-70
